Index    Fatigue    NT    THT    CT    DT    QmT    TT    THt    Ct    Dt    Tt    THQCr    TCr    C    Si    Mn    P    S    Ni    Cr    Cu    Mo
52    437    845    845    30    30    30    550    30    0    0    60    24    24    0.42    0.22    0.78    0.022    0.02    0.01    0.02    0.03    0
123    504    870    855    30    30    30    600    30    0    0    60    8    24    0.42    0.27    0.71    0.01    0.008    0.02    0.96    0.04    0
405    956    930    30    930    895.517    60    160    0    450    34.8    120    0    0.5    0.2    0.32    0.77    0.024    0.028    0.46    0.47    0.2    0.19
409    1033    930    30    930    903.333    140    160    0    510    45    120    0    0.5    0.23    0.29    0.85    0.011    0.011    0.44    0.6    0.07    0.16
265    461    870    845    30    30    30    600    30    0    0    60    8    24    0.4    0.25    1.47    0.027    0.016    0.02    0.04    0.01    0
74    372    845    845    30    30    30    650    30    0    0    60    24    24    0.42    0.22    0.78    0.022    0.02    0.01    0.02    0.03    0
139    571    870    855    30    30    30    550    30    0    0    60    8    24    0.35    0.3    0.7    0.019    0.012    0.02    1.03    0.01    0.15
104    418    825    825    30    30    30    650    30    0    0    60    24    24    0.54    0.26    0.76    0.022    0.021    0.02    0.12    0.01    0
47    325    865    865    30    30    30    650    30    0    0    60    24    24    0.32    0.21    0.63    0.007    0.017    0.06    0.1    0.08    0
91    541    825    825    30    30    30    550    30    0    0    60    24    24    0.54    0.27    0.7    0.017    0.02    0.06    0.1    0.22    0
418    1057    930    30    930    895.812    60    160    0    499.8    70.2    120    0    0.5    0.23    0.2    0.8    0.013    0.018    0.04    1.14    0.07    0.02
3    235    885    30    30    30    30    30    0    0    0    0    0    0    0.26    0.27    0.43    0.008    0.015    0.02    0.03    0.01    0
93    459    825    825    30    30    30    600    30    0    0    60    24    24    0.54    0.26    0.76    0.022    0.021    0.02    0.12    0.01    0
57    486    845    845    30    30    30    550    30    0    0    60    24    24    0.45    0.25    0.79    0.011    0.025    0.12    0.04    0.15    0
263    451    870    845    30    30    30    600    30    0    0    60    8    24    0.45    0.33    1.58    0.008    0.007    0.06    0.1    0.08    0
267    502    870    845    30    30    30    600    30    0    0    60    8    24    0.46    0.3    1.49    0.014    0.008    0.1    0.26    0.1    0
209    578    870    855    30    30    30    600    30    0    0    60    8    24    0.44    0.26    0.75    0.017    0.012    0.02    1.05    0.02    0.21
181    581    870    855    30    30    30    550    30    0    0    60    8    24    0.39    0.27    0.86    0.019    0.008    0.1    0.96    0.12    0.17
406    946    930    30    930    895.517    60    160    0    450    34.8    120    0    0.5    0.23    0.29    0.85    0.011    0.011    0.44    0.6    0.07    0.16
41    361    865    865    30    30    30    650    30    0    0    60    24    24    0.38    0.29    0.7    0.01    0.03    0.06    0.09    0.11    0
138    587    870    855    30    30    30    550    30    0    0    60    8    24    0.36    0.3    0.73    0.017    0.016    0.05    1.01    0.19    0.16
221    501    870    855    30    30    30    650    30    0    0    60    8    24    0.4    0.25    0.87    0.011    0.015    0.07    1.06    0.11    0.18
51    446    845    845    30    30    30    550    30    0    0    60    24    24    0.44    0.24    0.82    0.021    0.021    0.03    0.02    0.02    0
431    948    930    30    930    895.812    60    160    0    340.2    70.2    120    0    0.5    0.18    0.25    0.79    0.016    0.015    0.07    1.08    0.08    0.15
271    448    870    845    30    30    30    650    30    0    0    60    8    24    0.43    0.34    1.38    0.017    0.01    0.08    0.26    0.1    0
15    394    865    865    30    30    30    550    30    0    0    60    24    24    0.36    0.26    0.7    0.009    0.023    0.08    0.12    0.09    0
238    443    870    845    30    30    30    600    30    0    0    60    8    24    0.4    0.25    1.38    0.017    0.012    0.02    0.03    0.02    0
185    566    870    855    30    30    30    550    30    0    0    60    8    24    0.41    0.25    0.74    0.013    0.019    0.05    0.99    0.08    0.16
343    476    870    845    30    30    30    680    30    0    0    60    8    24    0.4    0.25    0.7    0.021    0.02    1.63    0.71    0.08    0.17
230    432    870    845    30    30    30    550    30    0    0    60    8    24    0.38    0.21    1.59    0.017    0.015    0.03    0.2    0.05    0
302    490    900    845    30    30    30    650    30    0    0    60    8    24    0.32    0.3    0.49    0.008    0.006    2.66    0.82    0.09    0
282    563    900    845    30    30    30    550    30    0    0    60    8    24    0.32    0.3    0.49    0.008    0.006    2.66    0.82    0.09    0
109    415    825    825    30    30    30    650    30    0    0    60    24    24    0.53    0.3    0.83    0.019    0.026    0.02    0.12    0.01    0
402    927    930    30    930    882.381    60    160    0    130.2    25.2    120    0    0.5    0.2    0.32    0.77    0.024    0.028    0.46    0.47    0.2    0.19
411    924    930    30    930    895.517    60    200    0    450    34.8    120    0    0.5    0.2    0.32    0.77    0.024    0.028    0.46    0.47    0.2    0.19
48    513    845    845    30    30    30    550    30    0    0    60    24    24    0.45    0.25    0.79    0.018    0.016    0.02    0.13    0.02    0
312    591    870    845    30    30    30    580    30    0    0    60    8    24    0.39    0.19    0.77    0.01    0.012    1.67    0.72    0.07    0.18
83    489    825    825    30    30    30    550    30    0    0    60    24    24    0.52    0.29    0.83    0.016    0.025    0.04    0.04    0.02    0
351    498    870    845    30    30    30    680    30    0    0    60    8    24    0.42    0.3    0.78    0.016    0.004    1.9    0.86    0.04    0.24
140    578    870    855    30    30    30    550    30    0    0    60    8    24    0.36    0.27    0.79    0.012    0.007    0.03    1.03    0.04    0.17
328    543    870    845    30    30    30    630    30    0    0    60    8    24    0.4    0.29    0.79    0.022    0.009    1.92    0.96    0.05    0.24
171    489    870    855    30    30    30    650    30    0    0    60    8    24    0.36    0.35    0.74    0.016    0.02    0.05    0.97    0.12    0.15
115    524    870    855    30    30    30    550    30    0    0    60    8    24    0.42    0.27    0.71    0.01    0.008    0.02    0.96    0.04    0
245    398    870    845    30    30    30    650    30    0    0    60    8    24    0.4    0.25    1.38    0.017    0.012    0.02    0.03    0.02    0
201    557    870    855    30    30    30    600    30    0    0    60    8    24    0.39    0.28    0.77    0.021    0.018    0.09    1.08    0.15    0.19
88    533    825    825    30    30    30    550    30    0    0    60    24    24    0.57    0.3    0.82    0.024    0.022    0.02    0.1    0.01    0
124    516    870    855    30    30    30    600    30    0    0    60    8    24    0.4    0.31    0.78    0.012    0.01    0.07    1.1    0.13    0
129    503    870    855    30    30    30    600    30    0    0    60    8    24    0.4    0.32    0.79    0.013    0.011    0.05    1.09    0.04    0
284    570    900    845    30    30    30    550    30    0    0    60    8    24    0.32    0.29    0.54    0.018    0.004    2.64    0.75    0.05    0
44    368    865    865    30    30    30    650    30    0    0    60    24    24    0.37    0.27    0.78    0.016    0.02    0.01    0.11    0.02    0
341    482    870    845    30    30    30    680    30    0    0    60    8    24    0.4    0.23    0.7    0.011    0.01    1.82    0.78    0.09    0.18
256    510    870    845    30    30    30    550    30    0    0    60    8    24    0.43    0.26    1.46    0.012    0.017    0.02    0.19    0.02    0
308    502    900    845    30    30    30    650    30    0    0    60    8    24    0.28    0.27    0.53    0.019    0.009    2.67    0.87    0.05    0
422    838    930    30    930    895.812    140    160    0    529.8    70.2    120    0    0.5    0.19    0.21    0.77    0.017    0.011    0.12    1.02    0.16    0.05
136    485    870    855    30    30    30    650    30    0    0    60    8    24    0.42    0.26    0.78    0.01    0.004    0.04    0.94    0.05    0
148    592    870    855    30    30    30    550    30    0    0    60    8    24    0.35    0.25    0.7    0.026    0.018    0.01    1    0.02    0.16
296    518    900    845    30    30    30    600    30    0    0    60    8    24    0.31    0.22    0.56    0.016    0.016    2.63    0.71    0.1    0
39    338    865    865    30    30    30    650    30    0    0    60    24    24    0.36    0.26    0.7    0.009    0.023    0.08    0.12    0.09    0
190    585    870    855    30    30    30    550    30    0    0    60    8    24    0.4    0.26    0.74    0.024    0.017    0.13    1.01    0.15    0.17
299    536    900    845    30    30    30    600    30    0    0    60    8    24    0.34    0.26    0.65    0.01    0.009    2.63    0.84    0.05    0
205    543    870    855    30    30    30    600    30    0    0    60    8    24    0.4    0.26    0.74    0.024    0.017    0.13    1.01    0.15    0.17
361    556    870    845    30    30    30    630    30    0    0    60    8    24    0.47    0.19    0.76    0.013    0.013    1.67    0.71    0.06    0
125    517    870    855    30    30    30    600    30    0    0    60    8    24    0.42    0.22    0.72    0.016    0.014    0.03    1.06    0.01    0
150    536    870    855    30    30    30    550    30    0    0    60    8    24    0.38    0.27    0.8    0.015    0.012    0.07    1.07    0.12    0.16
22    433    865    865    30    30    30    550    30    0    0    60    24    24    0.37    0.24    0.72    0.015    0.02    0.02    0.02    0.02    0
261    459    870    845    30    30    30    600    30    0    0    60    8    24    0.42    0.24    1.58    0.014    0.022    0.06    0.17    0.07    0
64    463    845    845    30    30    30    600    30    0    0    60    24    24    0.48    0.25    0.75    0.024    0.022    0.02    0.1    0.01    0
27    379    865    865    30    30    30    600    30    0    0    60    24    24    0.36    0.26    0.7    0.009    0.023    0.08    0.12    0.09    0
421    1068    930    30    930    895.812    140    160    0    529.8    70.2    120    0    0.5    0.23    0.2    0.8    0.013    0.018    0.04    1.14    0.07    0.02
235    438    870    845    30    30    30    600    30    0    0    60    8    24    0.4    0.22    1.56    0.011    0.019    0.06    0.09    0.05    0
306    471    900    845    30    30    30    650    30    0    0    60    8    24    0.31    0.22    0.56    0.016    0.016    2.63    0.71    0.1    0
252    530    870    845    30    30    30    550    30    0    0    60    8    24    0.41    0.34    1.36    0.02    0.015    0.07    0.27    0.1    0
427    1006    930    30    930    881.807    60    160    0    90    49.8    120    0    0.5    0.21    0.26    0.65    0.015    0.024    0.02    0.91    0.01    0.15
43    348    865    865    30    30    30    650    30    0    0    60    24    24    0.32    0.26    0.73    0.015    0.019    0.02    0.02    0.03    0
417    884    930    30    930    895.812    60    160    0    499.8    70.2    120    0    0.5    0.21    0.3    0.76    0.021    0.006    0.08    1.09    0.14    0.03
95    458    825    825    30    30    30    600    30    0    0    60    24    24    0.56    0.26    0.37    0.019    0.026    0.04    0.13    0.11    0
349    490    870    845    30    30    30    680    30    0    0    60    8    24    0.39    0.25    0.71    0.015    0.013    1.76    0.82    0.09    0.23
428    858    930    30    930    881.807    60    160    0    90    49.8    120    0    0.5    0.18    0.25    0.79    0.016    0.015    0.07    1.08    0.08    0.15
98    466    825    825    30    30    30    600    30    0    0    60    24    24    0.53    0.3    0.83    0.019    0.026    0.02    0.12    0.01    0
378    794    845    845    30    30    30    420    30    0    0    60    8    24    0.61    0.28    0.87    0.019    0.02    0.08    0.87    0.2    0.05
280    442    870    845    30    30    30    650    30    0    0    60    8    24    0.43    0.26    1.46    0.012    0.017    0.02    0.19    0.02    0
155    508    870    855    30    30    30    600    30    0    0    60    8    24    0.36    0.23    0.81    0.014    0.022    0.05    0.99    0.08    0.16
213    494    870    855    30    30    30    650    30    0    0    60    8    24    0.4    0.26    0.77    0.018    0.005    0.05    0.98    0.13    0.17
385    829    845    845    30    30    30    430    30    0    0    60    8    24    0.53    1.31    0.75    0.004    0.004    0.04    0.63    0.06    0.01
118    536    870    855    30    30    30    550    30    0    0    60    8    24    0.39    0.25    0.73    0.011    0.005    0.06    0.98    0.11    0
264    497    870    845    30    30    30    600    30    0    0    60    8    24    0.41    0.34    1.36    0.02    0.015    0.07    0.27    0.1    0
49    448    845    845    30    30    30    550    30    0    0    60    24    24    0.45    0.26    0.76    0.027    0.019    0.01    0.11    0.02    0
327    543    870    845    30    30    30    630    30    0    0    60    8    24    0.4    0.23    0.7    0.011    0.01    1.82    0.78    0.09    0.18
248    484    870    845    30    30    30    550    30    0    0    60    8    24    0.42    0.21    1.6    0.014    0.015    0.03    0.12    0.07    0
339    550    870    845    30    30    30    630    30    0    0    60    8    24    0.43    0.26    0.68    0.012    0.018    1.62    0.68    0.09    0.17
153    519    870    855    30    30    30    600    30    0    0    60    8    24    0.35    0.3    0.7    0.019    0.012    0.02    1.03    0.01    0.15
204    570    870    855    30    30    30    600    30    0    0    60    8    24    0.42    0.28    0.75    0.015    0.008    0.07    1.04    0.12    0.17
54    465    845    845    30    30    30    550    30    0    0    60    24    24    0.47    0.25    0.72    0.015    0.01    0.13    0.04    0.04    0
269    424    870    845    30    30    30    600    30    0    0    60    8    24    0.41    0.22    1.58    0.014    0.018    0.04    0.13    0.05    0
114    582    870    855    30    30    30    550    30    0    0    60    8    24    0.43    0.24    0.74    0.022    0.013    0.03    1.12    0.02    0
359    585    870    845    30    30    30    580    30    0    0    60    8    24    0.49    0.29    0.69    0.014    0.011    1.8    0.77    0.07    0
196    539    870    855    30    30    30    600    30    0    0    60    8    24    0.39    0.27    0.86    0.019    0.008    0.1    0.96    0.12    0.17
429    1144    930    30    930    895.812    60    160    0    340.2    70.2    120    0    0.5    0.21    0.31    0.81    0.012    0.019    0.06    1.17    0.07    0.17
356    607    870    845    30    30    30    580    30    0    0    60    8    24    0.44    0.25    0.74    0.01    0.009    1.74    0.79    0.09    0
81    523    825    825    30    30    30    550    30    0    0    60    24    24    0.55    0.23    0.76    0.018    0.012    0.01    0.09    0.01    0
62    415    845    845    30    30    30    600    30    0    0    60    24    24    0.44    0.24    0.82    0.021    0.021    0.03    0.02    0.02    0
301    540    900    845    30    30    30    600    30    0    0    60    8    24    0.32    0.3    0.52    0.013    0.009    2.67    0.77    0.06    0
243    380    870    845    30    30    30    650    30    0    0    60    8    24    0.41    0.24    1.51    0.02    0.008    0.04    0.22    0.08    0
113    415    825    825    30    30    30    650    30    0    0    60    24    24    0.54    0.27    0.7    0.017    0.02    0.06    0.1    0.22    0
313    590    870    845    30    30    30    580    30    0    0    60    8    24    0.4    0.23    0.7    0.011    0.01    1.82    0.78    0.09    0.18
24    382    865    865    30    30    30    600    30    0    0    60    24    24    0.35    0.21    0.77    0.021    0.022    0.01    0.01    0.02    0
58    452    845    845    30    30    30    550    30    0    0    60    24    24    0.42    0.26    0.7    0.024    0.01    0.01    0.1    0.01    0
236    404    870    845    30    30    30    600    30    0    0    60    8    24    0.41    0.24    1.51    0.02    0.008    0.04    0.22    0.08    0
90    505    825    825    30    30    30    550    30    0    0    60    24    24    0.52    0.21    0.8    0.021    0.021    0.02    0.1    0.02    0
294    517    900    845    30    30    30    600    30    0    0    60    8    24    0.32    0.29    0.54    0.018    0.004    2.64    0.75    0.05    0
76    396    845    845    30    30    30    650    30    0    0    60    24    24    0.47    0.25    0.72    0.015    0.01    0.13    0.04    0.04    0
276    450    870    845    30    30    30    650    30    0    0    60    8    24    0.41    0.34    1.36    0.02    0.015    0.07    0.27    0.1    0
416    889    930    30    930    895.517    60    160    0    100.2    34.8    120    0    0.5    0.19    0.21    0.77    0.017    0.011    0.12    1.02    0.16    0.05
326    551    870    845    30    30    30    630    30    0    0    60    8    24    0.39    0.19    0.77    0.01    0.012    1.67    0.72    0.07    0.18
128    524    870    855    30    30    30    600    30    0    0    60    8    24    0.42    0.26    0.78    0.01    0.004    0.04    0.94    0.05    0
30    425    865    865    30    30    30    600    30    0    0    60    24    24    0.33    0.26    0.76    0.023    0.013    0.01    0.1    0.03    0
383    718    845    845    30    30    30    490    30    0    0    60    8    24    0.62    0.29    0.88    0.026    0.007    0.05    0.75    0.12    0.03
395    1082    930    30    930    850    60    160    0    469.8    15    120    0    0.5    0.17    0.28    0.55    0.002    0.016    1.64    0.45    0.05    0.16
315    584    870    845    30    30    30    580    30    0    0    60    8    24    0.4    0.25    0.7    0.021    0.02    1.63    0.71    0.08    0.17
342    490    870    845    30    30    30    680    30    0    0    60    8    24    0.4    0.29    0.79    0.022    0.009    1.92    0.96    0.05    0.24
275    410    870    845    30    30    30    650    30    0    0    60    8    24    0.45    0.33    1.58    0.008    0.007    0.06    0.1    0.08    0
102    475    825    825    30    30    30    600    30    0    0    60    24    24    0.54    0.27    0.7    0.017    0.02    0.06    0.1    0.22    0
253    516    870    845    30    30    30    550    30    0    0    60    8    24    0.4    0.25    1.47    0.027    0.016    0.02    0.04    0.01    0
158    515    870    855    30    30    30    600    30    0    0    60    8    24    0.37    0.23    0.82    0.012    0.017    0.04    1.09    0.05    0.16
281    399    870    845    30    30    30    650    30    0    0    60    8    24    0.41    0.22    1.58    0.014    0.018    0.04    0.13    0.05    0
66    438    845    845    30    30    30    600    30    0    0    60    24    24    0.43    0.22    0.83    0.017    0.016    0.01    0.12    0.01    0
337    583    870    845    30    30    30    630    30    0    0    60    8    24    0.42    0.3    0.78    0.016    0.004    1.9    0.86    0.04    0.24
177    490    870    855    30    30    30    650    30    0    0    60    8    24    0.37    0.29    0.76    0.017    0.009    0.12    1.01    0.12    0.16
55    475    845    845    30    30    30    550    30    0    0    60    24    24    0.43    0.22    0.83    0.017    0.016    0.01    0.12    0.01    0
50    465    845    845    30    30    30    550    30    0    0    60    24    24    0.45    0.24    0.71    0.01    0.009    0.12    0.06    0.13    0
216    502    870    855    30    30    30    650    30    0    0    60    8    24    0.39    0.28    0.77    0.021    0.018    0.09    1.08    0.15    0.19
419    900    930    30    930    895.812    60    160    0    499.8    70.2    120    0    0.5    0.19    0.21    0.77    0.017    0.011    0.12    1.02    0.16    0.05
247    536    870    845    30    30    30    550    30    0    0    60    8    24    0.43    0.34    1.38    0.017    0.01    0.08    0.26    0.1    0
300    503    900    845    30    30    30    600    30    0    0    60    8    24    0.3    0.27    0.53    0.018    0.008    2.7    0.81    0.07    0
330    571    870    845    30    30    30    630    30    0    0    60    8    24    0.38    0.26    0.71    0.016    0.017    1.8    0.75    0.04    0.23
358    618    870    845    30    30    30    580    30    0    0    60    8    24    0.48    0.2    0.7    0.01    0.016    1.66    0.73    0.11    0
344    483    870    845    30    30    30    680    30    0    0    60    8    24    0.38    0.26    0.71    0.016    0.017    1.8    0.75    0.04    0.23
160    546    870    855    30    30    30    600    30    0    0    60    8    24    0.35    0.25    0.71    0.02    0.013    0.02    1.06    0.02    0.17
303    477    900    845    30    30    30    650    30    0    0    60    8    24    0.32    0.24    0.58    0.009    0.01    2.65    0.71    0.06    0
75    415    845    845    30    30    30    650    30    0    0    60    24    24    0.48    0.25    0.75    0.024    0.022    0.02    0.1    0.01    0
163    542    870    855    30    30    30    600    30    0    0    60    8    24    0.37    0.29    0.76    0.017    0.009    0.12    1.01    0.12    0.16
28    377    865    865    30    30    30    600    30    0    0    60    24    24    0.33    0.21    0.75    0.031    0.019    0.01    0.03    0.02    0
59    459    845    845    30    30    30    600    30    0    0    60    24    24    0.45    0.25    0.79    0.018    0.016    0.02    0.13    0.02    0
132    482    870    855    30    30    30    650    30    0    0    60    8    24    0.4    0.31    0.78    0.012    0.01    0.07    1.1    0.13    0
403    976    930    30    930    882.381    60    160    0    130.2    25.2    120    0    0.5    0.23    0.29    0.85    0.011    0.011    0.44    0.6    0.07    0.16
352    491    870    845    30    30    30    680    30    0    0    60    8    24    0.37    0.29    0.76    0.017    0.01    1.88    0.9    0.03    0.24
399    1037    930    30    930    850    60    200    0    469.8    15    120    0    0.5    0.21    0.29    0.62    0.015    0.016    1.62    0.59    0.07    0.21
127    518    870    855    30    30    30    600    30    0    0    60    8    24    0.42    0.32    0.81    0.014    0.007    0.03    1.09    0.04    0
237    406    870    845    30    30    30    600    30    0    0    60    8    24    0.38    0.21    1.59    0.017    0.015    0.03    0.2    0.05    0
99    486    825    825    30    30    30    600    30    0    0    60    24    24    0.57    0.3    0.82    0.024    0.022    0.02    0.1    0.01    0
322    604    870    845    30    30    30    580    30    0    0    60    8    24    0.38    0.29    0.7    0.012    0.008    1.75    0.74    0.07    0.19
126    511    870    855    30    30    30    600    30    0    0    60    8    24    0.39    0.25    0.73    0.011    0.005    0.06    0.98    0.11    0
413    1053    930    30    930    895.517    60    200    0    450    34.8    120    0    0.5    0.18    0.26    0.76    0.009    0.014    0.56    0.62    0.12    0.17
410    1080    930    30    930    903.333    140    160    0    510    45    120    0    0.5    0.18    0.26    0.76    0.009    0.014    0.56    0.62    0.12    0.17
176    511    870    855    30    30    30    650    30    0    0    60    8    24    0.35    0.25    0.7    0.026    0.018    0.01    1    0.02    0.16
179    476    870    855    30    30    30    650    30    0    0    60    8    24    0.34    0.29    0.71    0.019    0.013    0.11    1.05    0.12    0.16
234    470    870    845    30    30    30    600    30    0    0    60    8    24    0.4    0.25    1.34    0.017    0.015    0.02    0.13    0.02    0
331    542    870    845    30    30    30    630    30    0    0    60    8    24    0.4    0.33    0.73    0.011    0.012    1.71    0.74    0.08    0.2
407    1089    930    30    930    895.517    60    160    0    450    34.8    120    0    0.5    0.18    0.26    0.76    0.009    0.014    0.56    0.62    0.12    0.17
37    369    865    865    30    30    30    650    30    0    0    60    24    24    0.35    0.3    0.74    0.017    0.024    0.01    0.1    0.01    0
370    491    870    845    30    30    30    680    30    0    0    60    8    24    0.48    0.2    0.7    0.01    0.016    1.66    0.73    0.11    0
340    482    870    845    30    30    30    680    30    0    0    60    8    24    0.39    0.19    0.77    0.01    0.012    1.67    0.72    0.07    0.18
390    1034    930    30    930    850    60    160    0    139.8    15    120    0    0.5    0.21    0.29    0.62    0.015    0.016    1.62    0.59    0.07    0.21
146    583    870    855    30    30    30    550    30    0    0    60    8    24    0.35    0.25    0.71    0.02    0.013    0.02    1.06    0.02    0.17
9    275    885    30    30    30    30    30    0    0    0    0    0    0    0.27    0.23    0.37    0.008    0.03    0.06    0.1    0.09    0
198    550    870    855    30    30    30    600    30    0    0    60    8    24    0.4    0.26    0.77    0.018    0.005    0.05    0.98    0.13    0.17
231    482    870    845    30    30    30    550    30    0    0    60    8    24    0.4    0.25    1.38    0.017    0.012    0.02    0.03    0.02    0
203    583    870    855    30    30    30    600    30    0    0    60    8    24    0.42    0.29    0.77    0.015    0.017    0.12    1.1    0.09    0.15
133    470    870    855    30    30    30    650    30    0    0    60    8    24    0.42    0.22    0.72    0.016    0.014    0.03    1.06    0.01    0
310    471    900    845    30    30    30    650    30    0    0    60    8    24    0.3    0.27    0.53    0.018    0.008    2.7    0.81    0.07    0
379    855    845    845    30    30    30    420    30    0    0    60    8    24    0.63    0.17    0.77    0.026    0.014    0.03    0.81    0.02    0.01
67    468    845    845    30    30    30    600    30    0    0    60    24    24    0.49    0.26    0.8    0.027    0.023    0.02    0.09    0.01    0
240    385    870    845    30    30    30    650    30    0    0    60    8    24    0.38    0.27    1.52    0.012    0.007    0.03    0.13    0.07    0
367    476    870    845    30    30    30    680    30    0    0    60    8    24    0.47    0.19    0.76    0.013    0.013    1.67    0.71    0.06    0
268    490    870    845    30    30    30    600    30    0    0    60    8    24    0.43    0.26    1.46    0.012    0.017    0.02    0.19    0.02    0
68    452    845    845    30    30    30    600    30    0    0    60    24    24    0.45    0.25    0.79    0.011    0.025    0.12    0.04    0.15    0
332    531    870    845    30    30    30    630    30    0    0    60    8    24    0.42    0.25    0.73    0.012    0.021    1.69    0.73    0.09    0.22
257    443    870    845    30    30    30    550    30    0    0    60    8    24    0.41    0.22    1.58    0.014    0.018    0.04    0.13    0.05    0
63    401    845    845    30    30    30    600    30    0    0    60    24    24    0.42    0.22    0.78    0.022    0.02    0.01    0.02    0.03    0
277    410    870    845    30    30    30    650    30    0    0    60    8    24    0.4    0.25    1.47    0.027    0.016    0.02    0.04    0.01    0
386    700    845    845    30    30    30    430    30    0    0    60    8    24    0.53    1.51    0.68    0.013    0.011    0.13    0.68    0.26    0.05
70    413    845    845    30    30    30    650    30    0    0    60    24    24    0.45    0.25    0.79    0.018    0.016    0.02    0.13    0.02    0
226    427    870    845    30    30    30    550    30    0    0    60    8    24    0.38    0.27    1.52    0.012    0.007    0.03    0.13    0.07    0
45    341    865    865    30    30    30    650    30    0    0    60    24    24    0.35    0.25    0.82    0.016    0.023    0.03    0.01    0.01    0
2    235    885    30    30    30    30    30    0    0    0    0    0    0    0.25    0.18    0.44    0.009    0.017    0.08    0.12    0.08    0
151    557    870    855    30    30    30    550    30    0    0    60    8    24    0.34    0.29    0.71    0.019    0.013    0.11    1.05    0.12    0.16
293    510    900    845    30    30    30    600    30    0    0    60    8    24    0.32    0.24    0.58    0.009    0.01    2.65    0.71    0.06    0
423    873    930    30    930    895.812    60    200    0    499.8    70.2    120    0    0.5    0.21    0.3    0.76    0.021    0.006    0.08    1.09    0.14    0.03
223    523    870    855    30    30    30    650    30    0    0    60    8    24    0.4    0.25    0.74    0.014    0.028    0.24    0.96    0.1    0.18
197    564    870    855    30    30    30    600    30    0    0    60    8    24    0.43    0.26    0.74    0.019    0.012    0.02    1.07    0.02    0.22
112    410    825    825    30    30    30    650    30    0    0    60    24    24    0.52    0.21    0.8    0.021    0.021    0.02    0.1    0.02    0
194    625    870    855    30    30    30    550    30    0    0    60    8    24    0.44    0.26    0.75    0.017    0.012    0.02    1.05    0.02    0.21
