Index    Fatigue    NT    THT    CT    DT    QmT    TT    THt    Ct    Dt    Tt    THQCr    TCr    C    Si    Mn    P    S    Ni    Cr    Cu    Mo
219    502    870    855    30    30    30    650    30    0    0    60    8    24    0.42    0.28    0.75    0.015    0.008    0.07    1.04    0.12    0.17
309    496    900    845    30    30    30    650    30    0    0    60    8    24    0.34    0.26    0.65    0.01    0.009    2.63    0.84    0.05    0
26    365    865    865    30    30    30    600    30    0    0    60    24    24    0.34    0.26    0.74    0.012    0.015    0.01    0.02    0.01    0
60    415    845    845    30    30    30    600    30    0    0    60    24    24    0.45    0.26    0.76    0.027    0.019    0.01    0.11    0.02    0
222    517    870    855    30    30    30    650    30    0    0    60    8    24    0.4    0.22    0.7    0.01    0.004    0.04    0.94    0.12    0.17
111    412    825    825    30    30    30    650    30    0    0    60    24    24    0.56    0.25    0.68    0.009    0.023    0.03    0.1    0.03    0
120    565    870    855    30    30    30    550    30    0    0    60    8    24    0.42    0.26    0.78    0.01    0.004    0.04    0.94    0.05    0
147    585    870    855    30    30    30    550    30    0    0    60    8    24    0.33    0.27    0.69    0.015    0.008    0.04    0.99    0.05    0.18
363    537    870    845    30    30    30    630    30    0    0    60    8    24    0.45    0.16    0.79    0.009    0.016    1.65    0.73    0.05    0
345    480    870    845    30    30    30    680    30    0    0    60    8    24    0.4    0.33    0.73    0.011    0.012    1.71    0.74    0.08    0.2
85    495    825    825    30    30    30    550    30    0    0    60    24    24    0.54    0.2    0.75    0.013    0.019    0.01    0.01    0.01    0
333    531    870    845    30    30    30    630    30    0    0    60    8    24    0.38    0.26    0.71    0.016    0.008    1.66    0.72    0.12    0.16
96    445    825    825    30    30    30    600    30    0    0    60    24    24    0.54    0.2    0.75    0.013    0.019    0.01    0.01    0.01    0
164    592    870    855    30    30    30    600    30    0    0    60    8    24    0.38    0.27    0.8    0.015    0.012    0.07    1.07    0.12    0.16
116    583    870    855    30    30    30    550    30    0    0    60    8    24    0.4    0.31    0.78    0.012    0.01    0.07    1.1    0.13    0
19    418    865    865    30    30    30    550    30    0    0    60    24    24    0.32    0.26    0.73    0.015    0.019    0.02    0.02    0.03    0
371    479    870    845    30    30    30    680    30    0    0    60    8    24    0.49    0.29    0.69    0.014    0.011    1.8    0.77    0.07    0
192    625    870    855    30    30    30    550    30    0    0    60    8    24    0.4    0.22    0.7    0.01    0.004    0.04    0.94    0.12    0.17
131    457    870    855    30    30    30    650    30    0    0    60    8    24    0.42    0.27    0.71    0.01    0.008    0.02    0.96    0.04    0
338    583    870    845    30    30    30    630    30    0    0    60    8    24    0.37    0.29    0.76    0.017    0.01    1.88    0.9    0.03    0.24
270    411    870    845    30    30    30    650    30    0    0    60    8    24    0.42    0.23    1.5    0.01    0.009    0.04    0.15    0.05    0
